mass	MS_duration	core_mass
5.27593	91.6943	0.907031
5.28322	91.3998	0.90873
5.29053	91.1065	0.910433
5.29784	90.8142	0.912138
5.30517	90.5229	0.913847
5.3125	90.2328	0.915559
5.31985	89.9436	0.917274
5.3272	89.6556	0.918992
5.33457	89.3685	0.920713
5.34194	89.0825	0.922438
5.34933	88.7976	0.924165
5.35672	88.5136	0.925896
5.36413	88.2307	0.92763
5.37154	87.9488	0.929368
5.37897	87.668	0.931108
5.38641	87.3881	0.932852
5.39385	87.1093	0.934599
5.40131	86.8315	0.936349
5.41625	86.2789	0.939859
5.40878	86.5547	0.938103
5.43124	85.7302	0.943382
5.42374	86.004	0.941619
5.43875	85.4574	0.945149
5.44627	85.1855	0.946919
5.4538	84.9146	0.948692
5.46134	84.6447	0.950468
5.46889	84.3758	0.952248
5.47645	84.1079	0.954031
5.48402	83.8409	0.955817
5.4916	83.5748	0.957607
5.49919	83.3098	0.959399
5.5068	83.0457	0.961196
5.51441	82.7825	0.962995
5.52203	82.5203	0.964798
5.52967	82.259	0.966604
5.53731	81.9987	0.968414
5.54497	81.7393	0.970227
5.55263	81.4809	0.972043
5.56031	81.2233	0.973862
5.568	80.9667	0.975685
5.57569	80.7111	0.977512
5.5834	80.4563	0.979342
5.59885	79.9495	0.983011
5.59112	80.2025	0.981175
5.60659	79.6975	0.984851
5.61434	79.4464	0.986695
5.6221	79.1962	0.988542
5.62988	78.9469	0.990392
5.63766	78.6984	0.992245
5.65326	78.2043	0.995963
5.64545	78.4509	0.994103
5.66107	77.9585	0.997827
5.6689	77.7136	0.999695
5.67674	77.4696	1.00157
5.68459	77.2265	1.00344
5.70031	76.7429	1.0072
5.69244	76.9842	1.00532
5.70819	76.5023	1.00908
5.71609	76.2627	1.01097
5.72399	76.0239	1.01286
5.7319	75.7859	1.01476
5.73983	75.5488	1.01666
5.74776	75.3126	1.01856
5.75571	75.0772	1.02047
5.76366	74.8426	1.02238
5.77163	74.6089	1.02429
5.77961	74.376	1.02621
5.7876	74.1439	1.02813
5.7956	73.9127	1.03005
5.80362	73.6823	1.03198
5.81164	73.4527	1.03391
5.81967	73.224	1.03584
5.82772	72.996	1.03778
5.83578	72.7689	1.03972
5.84384	72.5426	1.04167
5.85192	72.3171	1.04362
5.86001	72.0923	1.04557
5.86812	71.8684	1.04752
5.87623	71.6453	1.04948
